pageURLMD5,type,mapping,specText,specImage
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,黑色,https://dtutcab4viamz.cloudfront.net/20191011157075751925465.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,白色,https://dtutcab4viamz.cloudfront.net/20191011157075752312312.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,粉色,https://dtutcab4viamz.cloudfront.net/20191011157075752813383.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,酒紅色,https://dtutcab4viamz.cloudfront.net/20191011157075753298109.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,淺藍色,https://dtutcab4viamz.cloudfront.net/20191011157075753859864.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_0-num_0,寶藍色,https://dtutcab4viamz.cloudfront.net/20191011157075754250983.jpg
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_0-num_0,S,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_0-num_0,M,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_0-num_0,L,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_0-num_0,XL,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_0-num_0,2XL,
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,黑色,https://dtutcab4viamz.cloudfront.net/20191011157075751925465.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,白色,https://dtutcab4viamz.cloudfront.net/20191011157075752312312.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,粉色,https://dtutcab4viamz.cloudfront.net/20191011157075752813383.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,酒紅色,https://dtutcab4viamz.cloudfront.net/20191011157075753298109.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,淺藍色,https://dtutcab4viamz.cloudfront.net/20191011157075753859864.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_0,寶藍色,https://dtutcab4viamz.cloudfront.net/20191011157075754250983.jpg
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_0,S,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_0,M,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_0,L,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_0,XL,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_0,2XL,
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,黑色,https://dtutcab4viamz.cloudfront.net/20191011157075751925465.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,白色,https://dtutcab4viamz.cloudfront.net/20191011157075752312312.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,粉色,https://dtutcab4viamz.cloudfront.net/20191011157075752813383.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,酒紅色,https://dtutcab4viamz.cloudfront.net/20191011157075753298109.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,淺藍色,https://dtutcab4viamz.cloudfront.net/20191011157075753859864.jpg
fe2aab57d1ded7fbf613d79d7918d70d,顏色,good_1-num_1,寶藍色,https://dtutcab4viamz.cloudfront.net/20191011157075754250983.jpg
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_1,S,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_1,M,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_1,L,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_1,XL,
fe2aab57d1ded7fbf613d79d7918d70d,尺碼,good_1-num_1,2XL,
